Celleneuve;Renaudel;Marie Curie;Petit Bard;Tonnelles;Belvédère;Saint-Clément;Las Cazes;Espérance;Saint-Gabriel;Las Sorbes;Érables;Louvain;Avenue de l'Agriculture;Glycines;Paladilhe;Doria;Saint-Roch;La Pile;Hippolyte Rech;Pierre d'Adhémar;Fac de Pharmacie;Saint-Éloi;Henri Dunant;Sainte-Odile;Marie Caizergues;Nazareth;Pierre Rouge;Aiguelongue;Clolus;Alpilles;Chantecler;Pioch de Boutonnet;Moulin de Gasconnet;René Bougnol;Antoine-Laurent de Jussieu;Aiguelongue (Jussieu)
10:02;10:04;10:06;10:06;10:07;10:11;10:11;10:12;10:13;10:14;10:15;10:16;10:17;10:17;10:18;10:19;10:20;10:22;10:23;10:25;10:27;10:29;10:29;10:32;10:32;10:32;10:34;10:36;10:36;10:36;10:37;10:37;10:38;10:41;10:41;10:42;10:43
10:22;10:24;10:26;10:26;10:27;10:31;10:31;10:32;10:33;10:33;10:34;10:35;10:36;10:36;10:37;10:38;10:39;10:41;10:42;10:44;10:46;10:48;10:48;10:51;10:51;10:51;10:53;10:55;10:55;10:55;10:56;10:56;10:57;11:00;11:00;11:01;11:02
10:42;10:44;10:46;10:46;10:47;10:51;10:51;10:52;10:53;10:53;10:54;10:55;10:56;10:56;10:57;10:58;10:59;11:01;11:02;11:04;11:06;11:08;11:08;11:11;11:11;11:12;11:14;11:16;11:16;11:16;11:17;11:17;11:18;11:21;11:21;11:22;11:23
11:01;11:03;11:05;11:05;11:06;11:10;11:10;11:11;11:12;11:12;11:13;11:14;11:15;11:15;11:16;11:17;11:18;11:20;11:21;11:23;11:25;11:27;11:27;11:30;11:30;11:31;11:33;11:35;11:35;11:35;11:36;11:36;11:37;11:40;11:40;11:41;11:42
11:20;11:22;11:24;11:24;11:25;11:29;11:29;11:30;11:31;11:31;11:32;11:33;11:34;11:34;11:35;11:36;11:37;11:39;11:41;11:43;11:45;11:47;11:47;11:50;11:50;11:51;11:53;11:55;11:55;11:55;11:56;11:56;11:57;12:00;12:00;12:01;12:02
11:39;11:41;11:43;11:43;11:44;11:48;11:48;11:49;11:50;11:51;11:52;11:53;11:54;11:54;11:55;11:56;11:57;11:59;12:01;12:03;12:05;12:07;12:07;12:10;12:10;12:11;12:13;12:15;12:15;12:15;12:16;12:16;12:17;12:20;12:20;12:21;12:22
12:00;12:02;12:04;12:04;12:05;12:09;12:09;12:10;12:11;12:12;12:13;12:14;12:15;12:15;12:16;12:17;12:18;12:20;12:21;12:23;12:25;12:27;12:27;12:30;12:30;12:31;12:33;12:35;12:35;12:35;12:36;12:36;12:37;12:40;12:40;12:41;12:42
12:21;12:23;12:25;12:25;12:26;12:29;12:29;12:30;12:31;12:32;12:33;12:34;12:35;12:35;12:36;12:37;12:38;12:40;12:41;12:43;12:45;12:47;12:47;12:50;12:50;12:51;12:53;12:55;12:55;12:55;12:56;12:56;12:57;13:00;13:00;13:01;13:02
12:41;12:43;12:45;12:45;12:46;12:49;12:49;12:50;12:51;12:51;12:52;12:53;12:54;12:54;12:55;12:56;12:57;12:59;13:00;13:02;13:04;13:06;13:06;13:09;13:09;13:10;13:12;13:14;13:14;13:14;13:15;13:15;13:16;13:19;13:19;13:20;13:21
13:02;13:04;13:06;13:06;13:07;13:10;13:10;13:11;13:12;13:12;13:13;13:14;13:15;13:15;13:16;13:17;13:18;13:20;13:22;13:24;13:26;13:28;13:28;13:31;13:31;13:32;13:34;13:36;13:36;13:36;13:37;13:37;13:38;13:41;13:41;13:42;13:43
