Aiguelongue (Jussieu);Antoine-Laurent de Jussieu;René Bougnol;Moulin de Gasconnet;Pioch de Boutonnet;Chantecler;Alpilles;Clolus;Aiguelongue;Pierre Rouge;Nazareth;Marie Caizergues;Sainte-Odile;Henri Dunant;Saint-Éloi;Pierre d'Adhémar;Hippolyte Rech;Charles Flahault;Paladilhe;Glycines;Avenue de l'Agriculture;Louvain;Érables;Las Sorbes;Saint-Gabriel;Espérance;Las Cazes;Saint-Clément;Belvédère;Tonnelles;Petit Bard;Marie Curie;Renaudel;Celleneuve
13:30;13:30;13:31;13:32;13:34;13:34;13:35;13:35;13:36;13:37;13:37;13:39;13:40;13:45;13:45;13:47;13:47;13:48;13:51;13:52;13:52;13:52;13:53;13:53;13:54;13:55;13:56;13:56;13:57;14:00;14:00;14:02;14:05;14:05
13:50;13:50;13:51;13:52;13:54;13:54;13:55;13:55;13:56;13:57;13:57;13:59;14:00;14:05;14:05;14:07;14:07;14:08;14:11;14:12;14:12;14:12;14:13;14:13;14:14;14:15;14:16;14:16;14:17;14:20;14:20;14:22;14:25;14:25
14:10;14:10;14:11;14:12;14:14;14:14;14:15;14:15;14:16;14:17;14:17;14:19;14:20;14:25;14:25;14:27;14:27;14:28;14:31;14:32;14:32;14:32;14:33;14:33;14:34;14:35;14:36;14:36;14:37;14:40;14:40;14:42;14:45;14:45
14:30;14:30;14:31;14:32;14:34;14:34;14:35;14:35;14:36;14:37;14:37;14:39;14:40;14:45;14:45;14:47;14:47;14:48;14:51;14:52;14:52;14:52;14:53;14:53;14:54;14:55;14:56;14:56;14:57;15:00;15:00;15:02;15:05;15:05
14:50;14:50;14:51;14:52;14:54;14:54;14:55;14:55;14:56;14:57;14:57;14:59;15:00;15:05;15:05;15:07;15:07;15:08;15:11;15:12;15:12;15:12;15:13;15:13;15:14;15:15;15:16;15:16;15:17;15:20;15:20;15:22;15:25;15:25
15:10;15:10;15:11;15:12;15:14;15:14;15:15;15:15;15:16;15:17;15:17;15:19;15:20;15:25;15:25;15:27;15:28;15:29;15:31;15:33;15:33;15:33;15:34;15:34;15:35;15:36;15:37;15:37;15:38;15:41;15:41;15:43;15:46;15:46
15:30;15:30;15:31;15:32;15:34;15:34;15:35;15:35;15:36;15:37;15:37;15:39;15:40;15:45;15:45;15:47;15:48;15:49;15:51;15:53;15:53;15:53;15:54;15:55;15:56;15:56;15:58;15:58;15:59;16:03;16:03;16:05;16:08;16:08
15:50;15:50;15:51;15:52;15:54;15:54;15:55;15:55;15:56;15:57;15:57;15:59;16:00;16:05;16:05;16:07;16:08;16:09;16:11;16:13;16:13;16:13;16:14;16:15;16:16;16:16;16:18;16:18;16:19;16:23;16:23;16:25;16:28;16:28
16:10;16:10;16:11;16:12;16:14;16:14;16:15;16:15;16:16;16:17;16:17;16:19;16:20;16:25;16:25;16:27;16:28;16:29;16:31;16:33;16:33;16:33;16:34;16:35;16:36;16:36;16:38;16:38;16:39;16:43;16:43;16:45;16:48;16:48
16:30;16:30;16:31;16:32;16:34;16:34;16:35;16:35;16:36;16:37;16:37;16:39;16:40;16:45;16:45;16:47;16:48;16:49;16:51;16:53;16:53;16:53;16:54;16:55;16:56;16:56;16:58;16:58;16:59;17:04;17:04;17:06;17:09;17:09
