Tournezy;Mas Saint-Pierre;Industrie;Marché Gare;Saporta;Mas Argelliers;Garcia Lorca;Cité de l'Arme;Lucullus;Frédéric Fabrège;Iris;Cité Mion;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch;Gare Saint-Roch;Observatoire;Gambetta;Palissade;Craponne;Figuerolles;Claret;Cité Gély;Chasseurs;Les Roses;Cité Valette;Pas du Loup;Collège Marcel Pagnol;Bagatelle;Cheng-Du;Rouget de Lisle;Paul Fajon;Les Bouisses
17:55;17:57;17:58;17:59;18:00;18:02;18:02;18:03;18:03;18:05;18:06;18:06;18:07;18:08;18:09;18:10;;18:13;18:15;18:16;18:17;18:18;18:19;18:21;18:21;18:22;18:23;18:24;18:26;18:26;18:27;18:29;18:30;18:31
18:25;18:27;18:28;18:29;18:30;18:32;18:32;18:33;18:33;18:35;18:36;18:36;18:37;18:38;18:39;18:40;;18:44;18:46;18:47;18:48;18:49;18:50;18:52;18:52;18:53;18:54;18:55;18:57;18:57;18:58;19:00;19:01;19:02
18:55;18:57;18:58;18:59;19:00;19:02;19:02;19:03;19:03;19:05;19:06;19:06;19:07;19:08;19:09;19:10;;19:14;19:17;19:18;19:19;19:20;19:21;19:23;19:23;19:24;19:25;19:26;19:28;19:28;19:29;19:31;19:32;19:33
19:25;19:27;19:28;19:29;19:30;19:32;19:32;19:33;19:33;19:35;19:36;19:36;19:37;19:38;19:39;19:40;;19:44;19:47;19:48;19:49;19:50;19:51;19:53;19:53;19:54;19:55;19:56;19:58;19:58;19:59;20:00;20:01;20:02
19:53;19:55;19:55;19:57;19:58;19:59;19:59;19:59;20:00;20:01;20:02;20:02;20:03;20:03;20:04;20:05;;20:09;20:12;20:13;20:14;20:15;20:16;20:18;20:18;20:19;20:20;20:21;20:23;20:23;20:24;20:25;20:26;20:27
20:23;20:25;20:25;20:27;20:28;20:29;20:29;20:29;20:30;20:31;20:32;20:32;20:33;20:33;20:34;20:35;;20:39;20:41;20:42;20:43;20:44;20:45;20:47;20:47;20:48;20:49;20:50;20:52;20:52;20:53;20:54;20:55;20:56
;;;;;;;;;;;;;;;;21:00;21:03;21:05;21:05;21:06;21:08;21:08;21:10;21:10;21:11;21:12;21:13;21:15;21:15;21:16;21:17;21:18;
;;;;;;;;;;;;;;;;21:30;21:33;21:35;21:35;21:36;21:38;21:38;21:40;21:40;21:41;21:42;21:43;21:45;21:45;21:46;21:47;21:48;
;;;;;;;;;;;;;;;;22:00;22:03;22:05;22:05;22:06;22:08;22:08;22:10;22:10;22:11;22:12;22:13;22:15;22:15;22:16;22:17;22:18;
;;;;;;;;;;;;;;;;22:30;22:33;22:35;22:35;22:36;22:38;22:38;22:40;22:40;22:41;22:41;22:42;22:44;22:44;22:45;22:46;22:47;
