Garcia Lorca;La Rauze;Georges Frêche - Hôtel de Ville;Rives du Lez;Place de l'Europe;Pompignane;Les Aubes;Corum;Louis Blanc;Albert 1er - Cathédrale;Peyrou - Arc de Triomphe;Saint-Guilhem - Courreau;Observatoire;Gare Saint-Roch;Rondelet;Nouveau Saint-Roch;Saint-Martin;Restanque;Garcia Lorca
19:16;19:17;19:20;19:23;19:24;19:25;19:28;19:31;19:32;19:34;19:36;19:37;19:39;19:40;19:41;19:44;19:46;19:47;19:49
19:36;19:37;19:40;19:43;19:44;19:45;19:48;19:51;19:52;19:54;19:56;19:57;19:59;20:00;20:01;20:04;20:06;20:07;20:09
19:56;19:57;20:00;20:03;20:04;20:05;20:08;20:11;20:12;20:14;20:16;20:17;20:19;20:20;20:21;20:24;20:26;20:27;20:29
20:16;20:17;20:20;20:23;20:24;20:25;20:28;20:31;20:32;20:34;20:36;20:37;20:39;20:40;20:41;20:44;20:46;20:47;20:49
20:36;20:37;20:40;20:43;20:44;20:45;20:48;20:51;20:52;20:54;20:56;20:57;20:59;21:00;21:01;21:04;21:06;21:07;21:09
20:56;20:57;21:00;21:03;21:04;21:05;21:08;21:11;21:12;21:14;21:16;21:17;21:19;21:20;21:21;21:24;21:26;21:27;21:29
21:16;21:17;21:20;21:23;21:24;21:25;21:28;21:31;21:32;21:34;21:36;21:37;21:39;21:40;21:41;21:44;21:46;21:47;21:49
21:36;21:37;21:40;21:43;21:44;21:45;21:48;21:51;21:52;21:54;21:56;21:57;21:59;22:00;22:01;22:04;22:06;22:07;22:09
21:56;21:57;22:00;22:03;22:04;22:05;22:08;22:11;22:12;22:14;22:16;22:17;22:19;22:20;22:21;22:24;22:26;22:27;22:29
22:16;22:17;22:20;22:23;22:24;22:25;22:28;22:31;22:32;22:34;22:36;22:37;22:39;22:40;22:41;22:44;22:46;22:47;22:49
22:36;22:37;22:40;22:43;22:44;22:45;22:48;22:51;22:52;22:54;22:56;22:57;22:59;23:00;23:01;23:04;23:06;23:07;23:09
22:56;22:57;23:00;23:03;23:04;23:05;23:08;23:11;23:12;23:14;23:16;23:17;23:19;23:20;23:21;23:24;23:26;23:27;23:29
23:16;23:17;23:20;23:23;23:24;23:25;23:28;23:31;23:32;23:34;23:36;23:37;23:39;23:40;23:41;23:44;23:46;23:47;23:49
23:36;23:37;23:40;23:43;23:44;23:45;23:48;23:51;23:52;23:54;23:56;23:57;23:59;0:00;0:01;0:04;0:06;0:07;0:09
23:56;23:57;0:00;0:03;0:04;0:05;0:08;0:11;0:12;0:14;0:16;0:17;0:19;0:20;0:21;0:24;0:26;0:27;0:29
0:16;0:17;0:20;0:23;0:24;0:25;0:28;0:31;0:32;0:34;0:36;0:37;0:39;0:40;0:41;0:44;0:46;0:47;0:49
0:36;0:37;0:40;0:43;0:44;0:45;0:48;0:51;0:52;0:54;0:56;0:57;0:59;1:00;1:01;1:04;1:06;1:07;1:09
0:56;0:57;1:00;1:03;1:04;1:05;1:08;1:11;1:12;1:14;1:16;1:17;1:19;1:20;;;;;
1:16;1:17;1:20;1:23;1:24;1:25;1:28;1:31;1:32;1:34;1:36;1:37;1:39;1:40;;;;;
