Garcia Lorca;Restanque;Saint-Martin;Nouveau Saint-Roch;Rondelet;Gare Saint-Roch;Observatoire;Saint-Guilhem - Courreau;Peyrou - Arc de Triomphe;Albert 1er - Cathédrale;Louis Blanc;Corum;Les Aubes;Pompignane;Place de l'Europe;Rives du Lez;Georges Frêche - Hôtel de Ville;La Rauze;Garcia Lorca
19:10;19:11;19:13;19:16;19:17;19:20;19:21;19:22;19:24;19:26;19:27;19:29;19:31;19:33;19:35;19:37;19:39;19:41;19:43
19:30;19:31;19:33;19:36;19:37;19:40;19:41;19:42;19:44;19:46;19:47;19:49;19:51;19:53;19:55;19:57;19:59;20:01;20:03
19:50;19:51;19:53;19:56;19:57;20:00;20:01;20:02;20:04;20:06;20:07;20:09;20:11;20:13;20:15;20:17;20:19;20:21;20:23
20:10;20:11;20:13;20:16;20:17;20:20;20:21;20:22;20:24;20:26;20:27;20:29;20:31;20:33;20:35;20:37;20:39;20:41;20:43
20:30;20:31;20:33;20:36;20:37;20:40;20:41;20:42;20:44;20:46;20:47;20:49;20:51;20:53;20:55;20:57;20:59;21:01;21:03
20:50;20:51;20:53;20:56;20:57;21:00;21:01;21:02;21:04;21:06;21:07;21:09;21:11;21:13;21:15;21:17;21:19;21:21;21:23
21:10;21:11;21:13;21:16;21:17;21:20;21:21;21:22;21:24;21:26;21:27;21:29;21:31;21:33;21:35;21:37;21:39;21:41;21:43
21:30;21:31;21:33;21:36;21:37;21:40;21:41;21:42;21:44;21:46;21:47;21:49;21:51;21:53;21:55;21:57;21:59;22:01;22:03
21:50;21:51;21:53;21:56;21:57;22:00;22:01;22:02;22:04;22:06;22:07;22:09;22:11;22:13;22:15;22:17;22:19;22:21;22:23
22:10;22:11;22:13;22:16;22:17;22:20;22:21;22:22;22:24;22:26;22:27;22:29;22:31;22:33;22:35;22:37;22:39;22:41;22:43
22:30;22:31;22:33;22:36;22:37;22:40;22:41;22:42;22:44;22:46;22:47;22:49;22:51;22:53;22:55;22:57;22:59;23:01;23:03
22:50;22:51;22:53;22:56;22:57;23:00;23:01;23:02;23:04;23:06;23:07;23:09;23:11;23:13;23:15;23:17;23:19;23:21;23:23
23:10;23:11;23:13;23:16;23:17;23:20;23:21;23:22;23:24;23:26;23:27;23:29;23:31;23:33;23:35;23:37;23:39;23:41;23:43
23:30;23:31;23:33;23:36;23:37;23:40;23:41;23:42;23:44;23:46;23:47;23:49;23:51;23:53;23:55;23:57;23:59;0:01;0:03
23:50;23:51;23:53;23:56;23:57;0:00;0:01;0:02;0:04;0:06;0:07;0:09;0:11;0:13;0:15;0:17;0:19;0:21;0:23
0:10;0:11;0:13;0:16;0:17;0:20;0:21;0:22;0:24;0:26;0:27;0:29;0:31;0:33;0:35;0:37;0:39;0:41;0:43
0:30;0:31;0:33;0:36;0:37;0:40;0:41;0:42;0:44;0:46;0:47;0:49;0:51;0:53;0:55;0:57;0:59;1:01;1:03
0:50;0:51;0:53;0:56;0:57;1:00;1:01;1:02;1:04;1:06;1:07;1:09;1:11;1:13;1:15;1:17;1:19;1:21;1:23
1:10;1:11;1:13;1:16;1:17;1:20;;;;;;;;;;;;;
