Grammont;Cimetière Saint-Étienne;Albert Einstein;Zénith;Georges Méliès;Place de France;Samuel Morse;Évariste Galois;Guglielmo Marconi;Volta Fizeau;Louis Lépine;Eurêka;Alfred Nobel;Pinville;François Couperin;Vieille Poste;Saint-Michel;Place de l'Europe;Paul Painlevé;Colverts;Saint-Jean;Marie Durand;André Malraux;Semard;Pierre Laroque;Apollo
9:31;9:32;9:32;9:34;9:39;9:39;9:41;9:42;9:43;9:45;9:45;9:46;9:47;9:48;9:49;9:50;9:52;9:55;9:58;10:00;10:00;10:02;10:02;10:03;10:03;10:05
9:46;9:47;9:47;9:49;9:54;9:54;9:56;9:57;9:58;10:00;10:00;10:01;10:02;10:03;10:04;10:05;10:07;10:10;10:13;10:15;10:15;10:17;10:17;10:18;10:18;10:20
10:02;10:03;10:03;10:05;10:10;10:10;10:11;10:12;10:14;10:15;10:15;10:16;10:17;10:18;10:19;10:20;10:22;10:25;10:28;10:30;10:30;10:32;10:32;10:33;10:33;10:35
10:17;10:18;10:18;10:20;10:25;10:25;10:26;10:27;10:29;10:30;10:30;10:31;10:32;10:33;10:34;10:35;10:37;10:40;10:43;10:45;10:45;10:47;10:47;10:48;10:48;10:50
10:32;10:33;10:33;10:35;10:40;10:40;10:41;10:42;10:44;10:45;10:45;10:46;10:47;10:48;10:49;10:50;10:52;10:55;10:58;11:00;11:00;11:02;11:02;11:03;11:03;11:05
10:47;10:48;10:48;10:50;10:55;10:55;10:56;10:57;10:59;11:00;11:00;11:01;11:02;11:03;11:04;11:05;11:07;11:10;11:13;11:15;11:15;11:17;11:17;11:18;11:18;11:20
11:02;11:03;11:03;11:05;11:10;11:10;11:11;11:12;11:14;11:15;11:15;11:16;11:17;11:18;11:19;11:20;11:22;11:25;11:28;11:30;11:30;11:32;11:32;11:33;11:33;11:35
11:17;11:18;11:18;11:20;11:25;11:25;11:26;11:27;11:29;11:30;11:30;11:31;11:32;11:33;11:34;11:35;11:37;11:40;11:43;11:45;11:45;11:47;11:47;11:48;11:48;11:50
11:32;11:33;11:33;11:35;11:40;11:40;11:41;11:42;11:44;11:45;11:45;11:46;11:47;11:48;11:49;11:50;11:52;11:55;11:58;12:00;12:00;12:02;12:02;12:03;12:03;12:05
11:46;11:47;11:48;11:50;11:55;11:55;11:57;11:58;11:59;12:01;12:01;12:02;12:03;12:04;12:05;12:06;12:08;12:10;12:13;12:15;12:15;12:17;12:17;12:18;12:18;12:20
12:01;12:02;12:03;12:05;12:10;12:10;12:12;12:13;12:14;12:16;12:16;12:17;12:18;12:19;12:20;12:21;12:23;12:25;12:28;12:30;12:30;12:32;12:32;12:33;12:33;12:35
12:16;12:17;12:18;12:20;12:25;12:25;12:27;12:28;12:29;12:31;12:31;12:32;12:33;12:34;12:35;12:36;12:38;12:40;12:43;12:45;12:45;12:47;12:47;12:48;12:48;12:50
12:33;12:34;12:34;12:36;12:41;12:41;12:42;12:43;12:45;12:46;12:46;12:47;12:48;12:49;12:50;12:51;12:53;12:55;12:58;13:00;13:00;13:02;13:02;13:03;13:03;13:05
