Saint-Denis;Observatoire;Gare Saint-Roch;Rondelet;Nouveau Saint-Roch;Saint-Martin;Restanque;Garcia Lorca;La Rauze;Georges Frêche - Hôtel de Ville;Rives du Lez;Place de l'Europe;Pompignane;Les Aubes;Corum;Louis Blanc;Place Albert 1er
20:57;20:59;21:00;21:01;21:03;21:06;21:07;21:09;21:10;21:13;21:16;21:17;21:18;21:21;21:24;21:25;21:27
21:17;21:19;21:20;21:21;21:23;21:26;21:27;21:29;21:30;21:33;21:36;21:37;21:38;21:41;21:44;21:45;21:47
21:37;21:39;21:40;21:41;21:43;21:46;21:47;21:49;21:50;21:53;21:56;21:57;21:58;22:01;22:04;22:05;22:07
21:57;21:59;22:00;22:01;22:03;22:06;22:07;22:09;22:10;22:13;22:16;22:17;22:18;22:21;22:24;22:25;22:27
22:17;22:19;22:20;22:21;22:23;22:26;22:27;22:29;22:30;22:33;22:36;22:37;22:38;22:41;22:44;22:45;22:47
22:37;22:39;22:40;22:41;22:43;22:46;22:47;22:49;22:50;22:53;22:56;22:57;22:58;23:01;23:04;23:05;23:07
22:57;22:59;23:00;23:01;23:03;23:06;23:07;23:09;23:10;23:13;23:16;23:17;23:18;23:21;23:24;23:25;23:27
23:17;23:19;23:20;23:21;23:23;23:26;23:27;23:29;23:30;23:33;23:36;23:37;23:38;23:41;23:44;23:45;23:47
23:37;23:39;23:40;23:41;23:43;23:46;23:47;23:49;23:50;23:53;23:56;23:57;23:58;0:01;0:04;0:05;0:07
23:57;23:59;0:00;0:01;0:03;0:06;0:07;0:09;0:10;0:13;0:16;0:17;0:18;0:21;0:24;0:25;0:27
0:17;0:19;0:20;0:21;0:23;0:26;0:27;0:29;0:30;0:33;0:36;0:37;0:38;0:41;0:44;0:45;0:47
0:37;0:39;0:40;0:41;0:43;0:46;0:47;0:49;0:50;0:53;0:56;0:57;0:58;1:01;1:04;1:05;1:07
0:57;0:59;1:00;1:01;1:03;1:06;1:07;1:09;1:10;1:13;1:16;1:17;1:18;1:21;1:24;1:25;1:27
