Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
16:35;16:37;16:37;16:37;16:39;16:41;16:42;16:43;16:44;16:45;16:45;16:47;16:47;16:50;16:52;16:53;16:57
16:50;16:52;16:52;16:52;16:54;16:56;16:57;16:58;16:59;17:00;17:00;17:02;17:02;17:05;17:07;17:08;17:12
17:05;17:07;17:07;17:07;17:09;17:11;17:12;17:13;17:14;17:15;17:15;17:17;17:17;17:20;17:22;17:23;17:27
17:20;17:22;17:22;17:22;17:24;17:26;17:27;17:28;17:29;17:30;17:30;17:32;17:32;17:35;17:37;17:38;17:42
17:35;17:37;17:37;17:37;17:39;17:41;17:42;17:43;17:44;17:45;17:45;17:47;17:47;17:50;17:52;17:53;17:57
17:50;17:52;17:52;17:52;17:54;17:56;17:57;17:58;17:59;18:00;18:00;18:02;18:02;18:05;18:07;18:08;18:12
18:05;18:07;18:07;18:07;18:09;18:11;18:12;18:13;18:14;18:15;18:15;18:17;18:17;18:20;18:22;18:23;18:27
18:20;18:22;18:22;18:22;18:24;18:26;18:27;18:28;18:29;18:30;18:30;18:32;18:32;18:35;18:37;18:38;18:42
18:35;18:37;18:37;18:37;18:38;18:40;18:41;18:42;18:43;18:44;18:44;18:46;18:46;18:49;18:51;18:52;18:56
18:50;18:52;18:52;18:52;18:53;18:55;18:56;18:57;18:58;18:59;18:59;19:01;19:01;19:03;19:05;19:06;19:10
19:05;19:06;19:06;19:06;19:07;19:09;19:10;19:11;19:12;19:13;19:13;19:15;19:15;19:17;19:19;19:20;19:24
19:20;19:21;19:21;19:21;19:22;19:24;19:25;19:26;19:27;19:28;19:28;19:30;19:30;19:32;19:34;19:35;19:39
19:35;19:36;19:36;19:36;19:37;19:39;19:40;19:41;19:42;19:43;19:43;19:45;19:45;19:47;19:49;19:49;19:53
19:55;19:56;19:56;19:56;19:57;19:59;20:00;20:01;20:02;20:03;20:03;20:05;20:05;20:07;20:08;20:08;20:12
20:15;20:16;20:16;20:16;20:17;20:19;20:19;20:20;20:21;20:22;20:22;20:24;20:24;20:26;20:27;20:27;20:31
20:35;20:36;20:36;20:36;20:37;20:39;20:39;20:40;20:41;20:42;20:42;20:44;20:44;20:46;20:47;20:47;20:51
