Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
14:30;14:31;14:34;14:35;14:36;14:40;14:40;14:42;14:43;14:43;14:44;14:45;14:46;14:48;14:50;14:50;14:51;14:51
14:42;14:43;14:46;14:47;14:48;14:52;14:52;14:54;14:55;14:55;14:56;14:57;14:58;15:00;15:02;15:02;15:03;15:03
14:54;14:55;14:58;14:59;15:00;15:04;15:04;15:06;15:07;15:07;15:08;15:09;15:10;15:12;15:14;15:14;15:15;15:15
15:06;15:07;15:10;15:11;15:12;15:16;15:16;15:18;15:19;15:19;15:20;15:21;15:22;15:24;15:26;15:26;15:27;15:27
15:18;15:19;15:22;15:23;15:24;15:28;15:28;15:30;15:31;15:31;15:32;15:33;15:34;15:36;15:38;15:38;15:39;15:39
15:30;15:31;15:34;15:35;15:36;15:40;15:40;15:42;15:43;15:43;15:44;15:45;15:46;15:48;15:50;15:50;15:51;15:51
15:42;15:43;15:46;15:47;15:48;15:52;15:52;15:54;15:55;15:55;15:56;15:57;15:58;16:00;16:02;16:02;16:03;16:03
15:54;15:55;15:58;15:59;16:00;16:04;16:04;16:06;16:07;16:07;16:08;16:09;16:10;16:12;16:14;16:14;16:15;16:15
16:06;16:07;16:10;16:11;16:13;16:17;16:17;16:19;16:20;16:20;16:21;16:22;16:23;16:25;16:27;16:27;16:28;16:28
16:18;16:20;16:22;16:24;16:26;16:30;16:30;16:32;16:33;16:33;16:34;16:35;16:36;16:38;16:40;16:40;16:41;16:41
16:30;16:32;16:35;16:37;16:39;16:43;16:43;16:45;16:46;16:46;16:47;16:48;16:49;16:51;16:53;16:53;16:54;16:54
16:42;16:45;16:48;16:50;16:52;16:56;16:56;16:58;16:59;16:59;17:00;17:01;17:02;17:04;17:06;17:06;17:07;17:07
16:54;16:57;17:01;17:03;17:05;17:09;17:09;17:11;17:12;17:12;17:13;17:14;17:15;17:17;17:19;17:19;17:20;17:20
17:06;17:09;17:13;17:15;17:17;17:21;17:21;17:23;17:24;17:24;17:25;17:26;17:27;17:29;17:31;17:31;17:32;17:32
17:18;17:21;17:25;17:27;17:29;17:33;17:33;17:35;17:36;17:36;17:37;17:38;17:39;17:41;17:43;17:43;17:44;17:44
17:30;17:33;17:37;17:39;17:41;17:45;17:45;17:47;17:48;17:48;17:49;17:50;17:51;17:53;17:55;17:55;17:56;17:56
17:42;17:45;17:49;17:51;17:53;17:57;17:57;17:59;18:00;18:00;18:01;18:02;18:03;18:05;18:07;18:07;18:08;18:08
17:54;17:57;18:01;18:03;18:05;18:09;18:09;18:11;18:12;18:12;18:13;18:14;18:15;18:17;18:19;18:19;18:20;18:20
18:06;18:09;18:13;18:15;18:17;18:21;18:21;18:23;18:24;18:24;18:25;18:26;18:27;18:29;18:31;18:31;18:32;18:32
18:18;18:21;18:24;18:26;18:28;18:32;18:32;18:34;18:35;18:35;18:36;18:37;18:38;18:40;18:42;18:42;18:43;18:43
18:30;18:33;18:36;18:38;18:39;18:43;18:43;18:45;18:46;18:46;18:47;18:48;18:49;18:51;18:53;18:53;18:54;18:54
18:42;18:44;18:47;18:49;18:50;18:54;18:54;18:56;18:57;18:57;18:58;18:59;19:00;19:02;19:04;19:04;19:05;19:05
18:54;18:56;18:58;19:00;19:01;19:05;19:05;19:07;19:08;19:08;19:09;19:10;19:11;19:13;19:15;19:15;19:16;19:16
19:06;19:07;19:10;19:11;19:12;19:16;19:16;19:18;19:19;19:19;19:20;19:21;19:22;19:24;19:26;19:26;19:27;19:27
19:18;19:19;19:22;19:23;19:24;19:28;19:28;19:30;19:30;19:31;19:32;19:33;19:33;19:35;19:37;19:37;19:38;19:38
19:30;19:31;19:34;19:35;19:36;19:40;19:40;19:42;19:42;19:43;19:44;19:45;19:45;19:47;19:49;19:49;19:50;19:50
19:42;19:43;19:46;19:47;19:48;19:52;19:52;19:54;19:54;19:55;19:56;19:57;19:57;19:59;20:01;20:01;20:02;20:02
19:54;19:55;19:58;19:59;20:00;20:04;20:04;20:06;20:06;20:07;20:08;20:09;20:09;20:11;20:13;20:13;20:14;20:14
20:06;20:07;20:10;20:11;20:12;20:16;20:16;20:18;20:18;20:19;20:20;20:21;20:21;20:23;20:25;20:25;20:26;20:26
20:20;20:21;20:24;20:25;20:26;20:30;20:30;20:31;20:31;20:32;20:33;20:34;20:34;20:36;20:38;20:38;20:39;20:39
20:40;20:41;20:44;20:45;20:46;20:50;20:50;20:51;20:51;20:52;20:52;20:53;20:54;20:55;20:57;20:57;20:58;20:58
21:00;21:01;21:04;21:05;21:06;21:09;21:09;21:10;21:10;21:11;21:11;21:12;21:13;21:14;21:16;21:16;21:17;21:17
21:20;21:21;21:24;21:25;21:26;21:29;21:29;21:30;21:30;21:31;21:31;21:32;21:33;21:34;21:36;21:36;21:37;21:37
