Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
5:35;5:36;5:38;5:39;5:40;5:43;5:43;5:44;5:44;5:45;5:45;5:46;5:46;5:48;5:49;5:49;5:50;5:50
6:00;6:01;6:03;6:04;6:05;6:08;6:08;6:09;6:09;6:10;6:10;6:11;6:11;6:13;6:14;6:14;6:15;6:15
6:25;6:26;6:28;6:29;6:30;6:33;6:33;6:34;6:34;6:35;6:35;6:36;6:37;6:38;6:40;6:40;6:41;6:41
6:40;6:41;6:43;6:44;6:45;6:48;6:48;6:49;6:49;6:50;6:50;6:51;6:52;6:53;6:55;6:55;6:56;6:56
6:55;6:56;6:58;6:59;7:00;7:03;7:03;7:04;7:04;7:05;7:05;7:06;7:07;7:08;7:10;7:10;7:11;7:11
7:13;7:14;7:16;7:17;7:18;7:21;7:21;7:22;7:22;7:23;7:23;7:24;7:25;7:26;7:28;7:28;7:29;7:29
7:32;7:33;7:36;7:37;7:38;7:41;7:41;7:42;7:42;7:43;7:43;7:44;7:45;7:46;7:48;7:48;7:49;7:49
7:50;7:52;7:54;7:56;7:57;8:00;8:00;8:01;8:01;8:02;8:03;8:04;8:04;8:06;8:08;8:08;8:09;8:09
8:05;8:07;8:09;8:11;8:12;8:16;8:16;8:17;8:17;8:18;8:19;8:20;8:20;8:22;8:24;8:24;8:25;8:25
8:20;8:22;8:24;8:26;8:27;8:31;8:31;8:32;8:32;8:33;8:34;8:35;8:35;8:37;8:39;8:39;8:40;8:40
8:35;8:37;8:39;8:41;8:42;8:46;8:46;8:47;8:47;8:48;8:49;8:50;8:50;8:52;8:54;8:54;8:55;8:55
8:50;8:52;8:54;8:56;8:57;9:01;9:01;9:02;9:02;9:03;9:04;9:05;9:05;9:07;9:09;9:09;9:10;9:10
9:05;9:07;9:09;9:11;9:12;9:16;9:16;9:17;9:17;9:18;9:19;9:20;9:20;9:22;9:24;9:24;9:25;9:25
9:20;9:21;9:24;9:25;9:26;9:30;9:30;9:32;9:32;9:33;9:34;9:35;9:35;9:37;9:39;9:39;9:40;9:40
9:35;9:36;9:39;9:40;9:41;9:45;9:45;9:47;9:47;9:48;9:49;9:50;9:50;9:52;9:54;9:54;9:55;9:55
9:50;9:51;9:54;9:55;9:56;10:00;10:00;10:02;10:02;10:03;10:04;10:05;10:05;10:07;10:09;10:09;10:10;10:10
10:05;10:06;10:09;10:10;10:11;10:15;10:15;10:17;10:17;10:18;10:19;10:20;10:20;10:22;10:24;10:24;10:25;10:25
10:20;10:21;10:24;10:25;10:27;10:31;10:31;10:33;10:33;10:34;10:35;10:36;10:36;10:38;10:40;10:40;10:41;10:41
10:35;10:36;10:39;10:40;10:42;10:46;10:46;10:48;10:48;10:49;10:50;10:51;10:51;10:53;10:55;10:55;10:56;10:56
10:50;10:51;10:54;10:55;10:57;11:01;11:01;11:03;11:03;11:04;11:05;11:06;11:06;11:08;11:10;11:10;11:11;11:11
11:05;11:06;11:09;11:10;11:12;11:16;11:16;11:18;11:18;11:19;11:20;11:21;11:21;11:23;11:25;11:25;11:26;11:26
11:20;11:21;11:24;11:25;11:27;11:31;11:31;11:33;11:33;11:34;11:35;11:36;11:36;11:38;11:40;11:40;11:41;11:41
11:35;11:36;11:39;11:40;11:42;11:46;11:46;11:48;11:48;11:49;11:50;11:51;11:51;11:53;11:55;11:55;11:56;11:56
11:50;11:51;11:54;11:55;11:57;12:01;12:01;12:03;12:03;12:04;12:05;12:06;12:06;12:08;12:10;12:10;12:11;12:11
12:05;12:06;12:09;12:10;12:12;12:16;12:16;12:18;12:18;12:19;12:20;12:21;12:21;12:23;12:25;12:25;12:26;12:26
