Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
16:35;16:36;16:39;16:40;16:41;16:44;16:44;16:46;16:47;16:47;16:48;16:49;16:50;16:52;16:54;16:54;16:56;16:56
16:50;16:51;16:54;16:55;16:56;16:59;16:59;17:01;17:02;17:02;17:03;17:04;17:05;17:07;17:09;17:09;17:11;17:11
17:05;17:06;17:09;17:10;17:11;17:14;17:14;17:16;17:17;17:17;17:18;17:19;17:20;17:22;17:24;17:24;17:26;17:26
17:20;17:21;17:24;17:25;17:26;17:29;17:29;17:31;17:32;17:32;17:33;17:34;17:35;17:37;17:39;17:39;17:41;17:41
17:35;17:36;17:39;17:40;17:41;17:44;17:44;17:46;17:47;17:47;17:48;17:49;17:50;17:52;17:54;17:54;17:56;17:56
17:50;17:51;17:54;17:55;17:56;17:59;17:59;18:01;18:02;18:02;18:03;18:04;18:05;18:07;18:09;18:09;18:11;18:11
18:05;18:06;18:09;18:10;18:11;18:14;18:14;18:16;18:17;18:17;18:18;18:19;18:20;18:22;18:24;18:24;18:26;18:26
18:20;18:21;18:24;18:25;18:26;18:29;18:29;18:31;18:32;18:32;18:33;18:34;18:35;18:37;18:39;18:39;18:41;18:41
18:35;18:36;18:39;18:40;18:41;18:44;18:44;18:46;18:47;18:47;18:48;18:49;18:50;18:52;18:54;18:54;18:56;18:56
18:50;18:51;18:54;18:55;18:56;18:59;18:59;19:01;19:02;19:02;19:03;19:04;19:05;19:07;19:09;19:09;19:11;19:11
19:05;19:06;19:09;19:10;19:11;19:14;19:14;19:16;19:17;19:17;19:18;19:19;19:20;19:22;19:24;19:24;19:26;19:26
19:20;19:21;19:24;19:25;19:26;19:29;19:29;19:31;19:32;19:32;19:33;19:34;19:35;19:37;19:39;19:39;19:41;19:41
19:35;19:36;19:39;19:40;19:41;19:44;19:44;19:46;19:47;19:47;19:48;19:49;19:50;19:52;19:54;19:54;19:56;19:56
19:50;19:51;19:54;19:55;19:56;19:59;19:59;20:01;20:01;20:02;20:03;20:04;20:04;20:06;20:08;20:08;20:10;20:10
20:05;20:06;20:09;20:10;20:11;20:14;20:14;20:16;20:16;20:17;20:18;20:19;20:19;20:21;20:23;20:23;20:25;20:25
20:20;20:21;20:24;20:25;20:26;20:29;20:29;20:31;20:31;20:32;20:33;20:34;20:34;20:36;20:38;20:38;20:40;20:40
20:40;20:41;20:43;20:44;20:45;20:47;20:47;20:48;20:48;20:49;20:50;20:51;20:51;20:53;20:55;20:55;20:57;20:57
21:00;21:01;21:03;21:04;21:05;21:08;21:08;21:10;21:10;21:11;21:11;21:12;21:12;21:14;21:15;21:15;21:16;21:16
21:20;21:21;21:23;21:24;21:25;21:28;21:28;21:30;21:30;21:31;21:31;21:32;21:33;21:34;21:36;21:36;21:37;21:37
