Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
13:06;13:07;13:10;13:11;13:12;13:15;13:15;13:17;13:18;13:18;13:19;13:20;13:21;13:23;13:25;13:25;13:27;13:27
13:18;13:19;13:22;13:23;13:24;13:27;13:27;13:29;13:30;13:30;13:31;13:32;13:33;13:35;13:37;13:37;13:39;13:39
13:30;13:32;13:34;13:36;13:37;13:40;13:40;13:42;13:43;13:43;13:44;13:45;13:46;13:48;13:50;13:50;13:52;13:52
13:41;13:43;13:45;13:47;13:48;13:52;13:52;13:54;13:55;13:55;13:56;13:57;13:58;14:00;14:02;14:02;14:04;14:04
13:52;13:54;13:57;13:59;14:00;14:04;14:04;14:06;14:06;14:07;14:08;14:09;14:09;14:11;14:13;14:13;14:15;14:15
14:04;14:06;14:09;14:11;14:12;14:16;14:16;14:18;14:18;14:19;14:20;14:21;14:21;14:23;14:25;14:25;14:27;14:27
14:14;14:16;14:19;14:21;14:22;14:26;14:26;14:28;14:28;14:29;14:30;14:31;14:31;14:33;14:35;14:35;14:37;14:37
14:24;14:26;14:29;14:31;14:32;14:36;14:36;14:38;14:38;14:39;14:40;14:41;14:41;14:43;14:45;14:45;14:47;14:47
14:34;14:36;14:39;14:41;14:42;14:46;14:46;14:48;14:48;14:49;14:50;14:51;14:51;14:53;14:55;14:55;14:57;14:57
14:44;14:46;14:48;14:50;14:51;14:55;14:55;14:57;14:57;14:58;14:59;15:00;15:00;15:02;15:04;15:04;15:06;15:06
14:54;14:56;14:58;15:00;15:01;15:05;15:05;15:07;15:07;15:08;15:09;15:10;15:10;15:12;15:14;15:14;15:16;15:16
15:04;15:06;15:08;15:10;15:11;15:15;15:15;15:17;15:17;15:18;15:19;15:20;15:20;15:22;15:24;15:24;15:26;15:26
15:14;15:16;15:18;15:20;15:21;15:25;15:25;15:27;15:27;15:28;15:29;15:30;15:30;15:32;15:34;15:34;15:36;15:36
15:24;15:26;15:28;15:30;15:31;15:35;15:35;15:37;15:37;15:38;15:39;15:40;15:40;15:42;15:44;15:44;15:46;15:46
15:34;15:36;15:38;15:40;15:41;15:45;15:45;15:47;15:47;15:48;15:49;15:50;15:50;15:52;15:54;15:54;15:56;15:56
15:44;15:46;15:48;15:50;15:51;15:55;15:55;15:57;15:57;15:58;15:59;16:00;16:00;16:02;16:04;16:04;16:06;16:06
15:54;15:56;15:58;16:00;16:01;16:05;16:05;16:07;16:08;16:08;16:09;16:10;16:11;16:13;16:15;16:15;16:17;16:17
16:04;16:06;16:08;16:10;16:11;16:15;16:15;16:17;16:18;16:18;16:19;16:20;16:21;16:23;16:25;16:25;16:27;16:27
16:14;16:16;16:18;16:20;16:21;16:25;16:25;16:27;16:28;16:28;16:29;16:30;16:31;16:33;16:35;16:35;16:37;16:37
16:24;16:26;16:29;16:31;16:33;16:37;16:37;16:39;16:40;16:40;16:41;16:42;16:43;16:45;16:47;16:47;16:49;16:49
16:34;16:36;16:39;16:41;16:43;16:47;16:47;16:49;16:50;16:50;16:51;16:53;16:53;16:56;16:58;16:58;17:00;17:00
16:45;16:48;16:51;16:53;16:55;16:59;16:59;17:01;17:02;17:02;17:03;17:05;17:05;17:08;17:10;17:10;17:12;17:12
16:56;16:59;17:02;17:04;17:06;17:10;17:10;17:12;17:13;17:13;17:14;17:16;17:16;17:19;17:21;17:21;17:23;17:23
17:07;17:10;17:13;17:15;17:17;17:21;17:21;17:23;17:24;17:24;17:25;17:27;17:27;17:30;17:32;17:32;17:34;17:34
17:18;17:21;17:24;17:26;17:28;17:32;17:32;17:34;17:35;17:35;17:36;17:38;17:38;17:41;17:43;17:43;17:45;17:45
17:28;17:31;17:34;17:36;17:38;17:42;17:42;17:44;17:45;17:45;17:46;17:48;17:48;17:51;17:53;17:53;17:55;17:55
17:39;17:42;17:45;17:47;17:49;17:53;17:53;17:55;17:56;17:56;17:57;17:59;17:59;18:02;18:04;18:04;18:06;18:06
17:49;17:52;17:55;17:57;17:59;18:03;18:03;18:05;18:06;18:06;18:07;18:09;18:09;18:12;18:14;18:14;18:16;18:16
17:59;18:02;18:05;18:07;18:09;18:13;18:13;18:15;18:16;18:16;18:17;18:19;18:19;18:22;18:24;18:24;18:26;18:26
18:09;18:12;18:15;18:17;18:19;18:23;18:23;18:25;18:26;18:26;18:27;18:29;18:29;18:32;18:34;18:34;18:36;18:36
18:20;18:23;18:26;18:28;18:29;18:33;18:33;18:35;18:36;18:36;18:37;18:39;18:39;18:42;18:44;18:44;18:46;18:46
18:30;18:32;18:35;18:37;18:38;18:42;18:42;18:44;18:45;18:45;18:46;18:47;18:48;18:50;18:52;18:52;18:54;18:54
18:40;18:42;18:45;18:47;18:48;18:52;18:52;18:54;18:55;18:55;18:56;18:57;18:58;19:00;19:02;19:02;19:04;19:04
18:50;18:52;18:55;18:57;18:58;19:02;19:02;19:04;19:05;19:05;19:06;19:07;19:08;19:10;19:12;19:12;19:14;19:14
19:00;19:02;19:05;19:07;19:08;19:12;19:12;19:14;19:15;19:15;19:16;19:17;19:18;19:20;19:22;19:22;19:24;19:24
19:10;19:12;19:14;19:16;19:17;19:20;19:20;19:22;19:22;19:23;19:24;19:25;19:25;19:27;19:29;19:29;19:31;19:31
19:20;19:22;19:24;19:26;19:27;19:30;19:30;19:32;19:32;19:33;19:34;19:35;19:35;19:37;19:39;19:39;19:41;19:41
19:30;19:32;19:34;19:36;19:37;19:40;19:40;19:42;19:42;19:43;19:44;19:45;19:45;19:47;19:49;19:49;19:51;19:51
19:40;19:42;19:44;19:46;19:47;19:50;19:50;19:52;19:52;19:53;19:54;19:55;19:55;19:57;19:59;19:59;20:01;20:01
19:50;19:52;19:54;19:56;19:57;19:59;19:59;20:01;20:01;20:02;20:03;20:04;20:04;20:06;20:08;20:08;20:10;20:10
20:05;20:06;20:09;20:10;20:11;20:13;20:13;20:15;20:15;20:16;20:17;20:18;20:18;20:20;20:22;20:22;20:24;20:24
20:20;20:21;20:24;20:25;20:26;20:28;20:28;20:30;20:30;20:31;20:32;20:33;20:33;20:35;20:37;20:37;20:39;20:39
20:40;20:41;20:44;20:45;20:46;20:48;20:48;20:50;20:50;20:51;20:51;20:52;20:52;20:54;20:55;20:55;20:57;20:57
21:00;21:01;21:04;21:05;21:06;21:08;21:08;21:10;21:10;21:11;21:11;21:12;21:12;21:14;21:15;21:15;21:17;21:17
21:20;21:21;21:24;21:25;21:26;21:28;21:28;21:30;21:30;21:31;21:31;21:32;21:32;21:34;21:35;21:35;21:37;21:37
